,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,abha,90,PH,1605073634,72,17.49,120.43,83.17,15.84
142,vallenar,99,RU,1605073634,96,65.53,72.52,11.97,9.26
143,nikolskoye,40,BR,1605073634,83,-20.67,-40.5,77.0,11.41
144,camacha,0,IN,1605073635,20,24.6,72.7,74.26,1.19
145,evensk,82,IS,1605073388,73,64.89,-23.71,39.11,12.12
146,atambua,99,RU,1605073635,94,61.47,128.92,5.52,2.42
147,dongsheng,65,PG,1605073338,70,-2.57,150.8,84.42,6.85
148,grand river south east,99,VU,1605073635,74,-13.88,167.55,80.2,7.9
149,tiznit,0,CN,1605073635,36,30.3,111.5,72.05,4.65
150,sitka,50,SO,1605073636,67,4.12,43.89,77.86,15.14
151,atar,100,PH,1605073636,89,17.42,121.44,75.63,15.68
152,poum,36,SB,1605073636,67,-8.77,160.7,84.65,5.06
153,bolungarvik,90,US,1605073186,94,32.35,-85.2,73.4,4.7
154,ilulissat,47,SO,1605073637,58,7.98,49.82,83.12,16.28
155,barentsburg,73,MV,1605073315,70,-0.6,73.08,84.67,8.28
156,bella union,20,GD,1605073449,83,12.06,-61.75,80.6,9.17
157,busayra,98,GL,1605073300,93,64.18,-51.72,13.15,7.0
158,otjimbingwe,57,SS,1605073637,33,8.46,25.68,77.81,4.65
159,tarko-sale,90,CA,1605073335,79,52.97,-108.38,24.8,12.75
160,talcahuano,48,US,1605073638,91,40.8,-124.16,42.01,4.68
161,marcona,90,PH,1605073634,72,17.49,120.43,83.17,15.84
162,mvuma,0,AU,1605073638,71,-34.58,150.86,75.99,5.99
164,new norfolk,0,IN,1605073638,38,23.37,93.12,79.5,0.6
165,gornopravdinsk,73,UY,1605073283,89,-33.7,-53.46,59.99,8.75
166,martigny,97,ZM,1605073639,44,-10.54,32.08,78.51,6.04
167,santa cruz do rio pardo,100,CD,1605073279,66,-7.03,29.76,76.84,3.42
168,nadym,44,NG,1605073639,37,11.24,4.91,69.84,5.86
169,guarapari,0,CL,1605073639,87,-30.6,-71.2,47.37,0.76
170,abu samrah,88,RU,1605073316,92,71.97,102.5,-4.59,4.79
171,olafsvik,100,AU,1605073409,89,-38.33,143.58,62.01,1.99
172,mokhsogollokh,40,MU,1605073319,69,-20.26,57.41,78.8,13.87
173,kavieng,100,NC,1605073359,76,-22.67,167.48,71.1,20.71
174,sola,5,CA,1605073286,93,47.67,-52.73,53.01,23.04
175,zhicheng,21,CL,1605073345,92,-35.33,-72.42,52.02,4.65
176,paradwip,1,US,1605073352,93,34.88,-76.9,73.0,6.93
177,xuddur,1,US,1605073641,68,38.88,-109.5,26.6,0.67
178,tabuk,51,ID,1605073641,74,-8.35,113.61,84.56,6.78
179,auki,40,US,1605073395,78,20.89,-156.47,77.0,13.87
180,russell,100,GB,1605073386,93,53.66,-1.85,48.0,3.0
181,eyl,70,AO,1605073642,58,-14.92,13.49,67.98,2.06
182,la rioja,100,GB,1605073642,92,57.41,-6.19,51.01,13.0
183,hithadhoo,49,BR,1605073607,76,-14.93,-42.82,65.25,4.56
184,saint-georges,100,CD,1605073293,66,-7.03,29.76,76.84,3.42
185,nuuk,13,KZ,1605073385,64,44.51,50.26,45.05,20.78
186,raga,71,RU,1605073643,81,51.12,133.02,22.14,0.94
187,prince rupert,30,CI,1605073643,83,5.14,-5.02,77.76,5.32
188,eureka,20,MT,1605073348,87,35.88,14.5,61.0,3.36
189,santa cruz del norte,98,BR,1605073310,94,-24.79,-50.01,61.09,2.64
190,flinders,40,BW,1605073644,93,-24.42,26.15,66.2,4.7
191,chapais,0,RE,1605073323,57,-21.36,55.77,82.4,5.82
192,khawhai,100,CD,1605073293,66,-7.03,29.76,76.84,3.42
193,chuy,90,US,1605073644,80,41.21,-92.53,35.6,12.75
194,chinsali,69,NZ,1605073276,78,-46.13,167.68,55.99,8.99
195,ust-kamchatsk,0,HK,1605073164,60,22.29,114.16,80.01,1.99
196,ciudad bolivar,0,CN,1605073645,42,42.74,124.72,55.17,18.23
197,port hardy,8,ZA,1605073288,90,-34.0,24.73,60.01,1.5
198,duku,20,RU,1605073645,77,51.1,114.53,37.56,10.83
199,ovalle,100,TM,1605073348,67,39.51,54.37,56.28,5.73
200,khatanga,1,RU,1605073326,87,46.49,135.88,24.35,3.42
202,attawapiskat,91,RU,1605073279,94,63.05,179.32,19.15,15.48
204,vao,0,AU,1605073646,56,-28.87,153.57,77.0,16.11
205,torbay,100,CA,1605073365,83,68.22,-135.01,-2.2,9.17
206,constitucion,1,NZ,1605073646,67,-43.53,172.63,57.2,9.17
207,havelock,100,GL,1605073335,89,60.14,-45.24,27.41,7.23
208,la ronge,31,GH,1605073647,82,5.26,-0.76,79.07,6.62
209,grand centre,0,RE,1605073293,57,-21.34,55.48,80.6,5.82
211,kahului,100,GL,1605073287,98,65.61,-37.64,30.42,23.24
212,mount gambier,98,RU,1605073647,96,56.91,118.26,29.64,1.12
213,lubango,0,ML,1605073648,42,12.28,-10.97,68.02,1.45
214,portree,75,RU,1605073648,80,55.74,46.75,30.2,13.42
215,espinosa,100,RU,1605073152,91,68.05,166.44,0.99,2.64
216,port blair,78,MX,1605073648,88,19.93,-105.25,71.89,2.75
217,fort-shevchenko,100,VU,1605073649,89,-19.55,169.27,73.89,10.89
218,chegdomyn,100,RU,1605073649,93,66.77,123.37,0.54,16.33
219,grand-lahou,55,US,1605073649,71,40.77,-122.03,33.01,3.67
220,marsa matruh,17,BR,1605073643,66,-11.09,-43.14,73.06,5.39
221,castro,44,US,1605073140,85,45.52,-122.68,46.0,2.46
222,mochudi,40,LK,1605073649,70,6.8,81.48,87.8,6.93
223,saint-philippe,75,GB,1605073650,81,58.97,-3.3,51.8,18.34
224,port lincoln,76,RU,1605073650,95,66.83,70.83,6.64,7.76
225,cedar city,43,KE,1605073650,61,3.52,39.06,73.76,7.96
226,tuatapere,40,ID,1605073650,59,-3.42,114.85,91.4,3.36
227,victoria,0,IN,1605073363,42,25.52,90.22,82.92,0.83
228,xifeng,40,MX,1605073651,88,20.55,-89.85,77.0,12.75
229,kruisfontein,96,PH,1605073651,73,15.89,120.3,84.88,7.2
230,aginskoye,85,PE,1605073651,86,-11.1,-77.61,60.48,3.69
231,balkanabat,40,RU,1605073651,75,45.13,42.03,32.0,4.47
232,vostok,75,JP,1605073391,80,43.32,145.57,35.6,8.05
233,north bend,100,RU,1605073652,94,57.13,73.83,31.19,9.44
235,vila franca do campo,80,AU,1605073320,66,-38.27,141.97,64.0,1.99
236,ballina,40,BR,1605073334,78,-8.01,-34.86,78.8,9.17
237,aklavik,40,NO,1605073300,81,70.37,31.11,32.0,8.05
239,nanortalik,95,RU,1605073342,93,60.47,166.1,12.81,5.75
240,mumford,5,TD,1605073654,29,13.47,22.2,72.9,19.75
241,saint-pierre,75,RU,1605073654,84,62.72,129.67,-0.4,4.47
242,parys,98,BR,1605073264,97,-30.18,-50.21,66.96,3.91
243,tasiilaq,0,CN,1605073321,31,41.12,80.26,52.75,2.15
244,chara,1,US,1605073322,80,35.22,-97.44,44.01,8.05
245,dire,0,RU,1605073654,92,50.68,36.55,28.4,6.71
246,alikovo,32,CL,1605073299,95,-37.62,-73.65,50.95,8.97
247,bilibino,0,MR,1605073343,22,20.5,-10.07,72.97,3.94
248,tomatlan,78,UA,1605073655,84,49.03,25.77,36.55,7.27
249,isangel,90,US,1605073655,85,43.66,-110.72,23.0,14.99
251,shasta lake,75,RU,1605073588,92,59.78,30.82,32.0,2.24
252,barra patuca,0,MR,1605073656,69,16.52,-15.51,73.4,8.61
253,portland,66,BR,1605073656,94,-13.66,-59.79,68.76,3.38
255,sentyabrskiy,0,ML,1605073656,25,13.3,-4.9,70.93,7.0
256,stromness,94,BR,1605073396,86,-23.78,-45.36,72.05,3.38
257,yar-sale,47,PT,1605073657,81,41.45,-8.02,51.01,1.99
259,martapura,100,ID,1605073314,72,-0.88,131.25,84.18,3.62
260,tura,0,ES,1605073657,87,43.39,-6.07,51.01,8.05
261,opichen,100,RU,1605073658,98,58.13,68.59,27.57,6.71
262,isla vista,45,BR,1605073513,65,-10.82,-42.73,74.23,16.26
263,hualmay,0,CN,1605073658,41,24.48,118.08,77.0,17.9
264,mikhaylovsk,98,BR,1605073658,95,-29.95,-50.11,67.35,2.46
265,nemuro,1,US,1605073295,79,59.23,-135.44,23.0,9.17
266,kytlym,0,NO,1605073301,74,70.86,29.09,35.6,10.29
267,tumannyy,30,RU,1605073659,94,58.4,33.29,30.47,4.94
268,te anau,39,SO,1605073283,69,5.35,48.53,82.15,14.65
269,znamenskoye,100,RU,1605073659,96,54.48,53.47,30.33,11.3
270,kilifarevo,100,PH,1605073301,79,11.0,122.67,84.6,9.17
271,codrington,100,CA,1605073660,92,51.5,-107.05,14.0,4.7
272,hihifo,0,BW,1605073660,65,-24.09,25.03,71.24,12.97
273,olinda,0,SA,1605073318,72,18.39,42.45,62.6,2.37
274,vardo,0,GR,1605073660,69,38.2,20.43,60.76,8.66
275,vila velha,100,CD,1605073660,92,-5.38,27.0,72.61,2.46
276,tilichiki,71,PE,1605073660,85,-7.84,-79.15,60.67,1.05
277,adre,56,BR,1605073661,92,-4.88,-66.9,72.63,1.54
278,namtsy,17,PT,1605073661,91,40.16,-8.33,55.0,4.41
279,cidreira,75,US,1605073661,85,64.86,-147.8,23.0,3.36
280,aksu,100,RU,1605073327,94,71.69,128.87,1.92,8.97
281,norman wells,0,AU,1605073399,19,-20.74,116.85,93.38,19.57
283,lebu,41,CN,1605073662,25,36.53,114.11,68.63,12.88
284,adrar,99,DO,1605073321,93,19.46,-71.33,73.99,3.65
285,belaya gora,100,CA,1605073662,92,49.42,-82.43,30.2,4.7
286,moose factory,83,CG,1605073662,83,-4.36,14.76,72.84,1.68
288,otradnoye,0,MA,1605073663,93,30.04,-8.8,50.0,5.84
289,tuggurt,90,JP,1605073663,73,26.18,127.76,75.2,13.87
290,jiddah,0,CN,1605073663,36,21.85,111.97,81.0,10.04
291,dagana,100,RU,1605073394,98,67.67,53.09,29.01,20.31
292,den helder,34,ES,1605073664,80,37.47,-4.44,51.01,3.44
293,comodoro rivadavia,44,NL,1605073664,96,51.82,4.63,52.0,1.01
294,acajutla,20,JP,1605073346,44,33.73,135.98,60.8,17.22
295,san carlos de bariloche,0,LY,1605073382,80,29.03,21.55,60.69,10.2
296,ilhabela,72,GA,1605073664,91,-1.57,9.26,75.79,3.47
297,ribas do rio pardo,100,RU,1605073337,98,61.28,108.01,29.82,6.78
298,valdivia,0,CN,1605073665,32,40.28,97.2,51.28,6.35
299,sorong,69,AO,1605073665,75,-12.38,16.93,66.16,5.95
300,grado,100,RU,1605073665,89,54.0,90.25,28.53,8.16
301,kichmengskiy gorodok,5,US,1605073437,94,41.14,-73.36,60.01,8.72
302,abalak,90,US,1605073459,93,39.18,-84.53,66.99,10.29
303,xique-xique,1,US,1605073666,68,38.88,-109.5,26.6,0.78
304,xiamen,39,RU,1605073298,92,66.56,67.8,7.9,7.45
305,presidente venceslau,75,US,1605073666,88,42.67,-83.4,64.99,13.87
306,haines junction,42,LR,1605073302,90,6.38,-10.7,74.86,3.47
307,berlevag,82,PE,1605073370,88,-5.09,-81.11,61.92,6.13
308,okulovka,85,PH,1605073667,74,15.44,119.9,84.56,6.55
309,hobyo,80,GH,1605073667,97,7.08,-2.17,70.12,1.12
310,oktyabrskiy,40,RU,1605073293,86,59.38,143.3,1.85,13.78
311,dingle,0,RU,1605073668,80,54.91,99.03,34.81,9.71
312,outlook,1,US,1605073501,87,39.1,-76.85,63.0,7.94
313,letlhakeng,20,IS,1605073366,68,63.84,-22.43,33.8,8.05
314,faya,0,SD,1605073669,31,14.2,24.67,66.24,11.16
315,lixourion,40,BR,1605073669,94,-5.79,-35.21,75.2,9.17
316,kongolo,12,IN,1605073669,52,34.17,77.58,38.28,4.65
317,chicama,99,RU,1605073669,97,60.73,114.93,30.69,4.36
318,carauari,11,ZA,1605073309,76,-33.01,17.94,53.6,4.7
319,lata,100,CA,1605073669,92,49.2,-117.27,32.0,3.36
321,tiksi,11,IR,1605073670,14,27.2,60.68,84.33,3.4
322,karratha,0,AU,1605073670,22,-32.08,141.0,96.8,26.4
323,vila do maio,75,CL,1605073302,87,-29.95,-71.34,55.4,5.82
324,hecun,99,RU,1605073085,92,68.05,39.51,34.48,16.02
325,lazaro cardenas,90,PG,1605073671,98,-6.18,143.65,61.99,2.91
328,strezhevoy,54,RU,1605073355,93,65.37,64.67,20.77,12.57
329,sri aman,75,SJ,1605073291,80,78.22,15.64,35.6,12.75
330,samusu,100,CD,1605073671,66,-7.03,29.76,76.84,3.42
331,nishihara,57,GB,1605073626,93,51.38,1.39,51.01,1.01
332,yangjiang,12,MX,1605073672,77,16.86,-99.89,78.37,4.65
333,naryan-mar,0,ML,1605073355,25,13.3,-4.9,70.93,7.0
334,cabra,100,RU,1605073672,91,56.87,37.35,32.85,8.77
335,zwijndrecht,1,MG,1605073672,58,-14.27,50.17,79.77,9.73
336,shingu,97,CO,1605073672,53,3.22,-76.31,72.0,1.19
337,jalu,55,IT,1605073673,71,46.32,11.1,39.0,2.17
338,omboue,75,SA,1605073673,88,26.33,43.98,66.2,4.7
340,yumen,95,NZ,1605073673,71,-41.41,175.52,55.4,10.29
341,kuito,100,BO,1605073673,93,-10.84,-65.36,70.81,1.12
342,sorsk,91,BR,1605073367,71,-2.92,-39.92,81.9,15.61
343,westport,0,ML,1605073674,22,13.81,-10.83,72.7,3.87
344,hamilton,93,ID,1605073674,65,-7.38,108.21,84.51,6.8
345,quatre cocos,75,TZ,1605073674,82,-5.02,32.8,68.0,4.7
346,grand gaube,94,GB,1605073675,94,52.33,-0.19,48.99,7.0
347,aksarka,100,PG,1605073675,76,-6.22,155.63,83.34,5.5
348,oakland,90,FR,1605073675,93,43.08,0.67,43.0,3.36
349,half moon bay,20,AU,1605073675,47,-32.95,151.67,80.6,12.75
350,paita,88,RU,1605073285,96,62.06,48.62,26.65,8.14
351,umzimvubu,0,PK,1605073676,53,26.43,67.86,75.2,6.93
352,tartki,90,AU,1605073676,48,-32.55,115.7,68.0,13.87
353,palauig,96,IS,1605073676,66,64.25,-15.21,42.04,20.89
354,la gaulette,62,RU,1605073676,93,67.47,78.7,0.64,8.75
355,boma,75,US,1605073677,86,47.11,-104.71,30.99,9.17
356,saint-fabien,85,PH,1605073677,73,8.0,124.29,84.99,5.01
357,okhotsk,40,MU,1605073324,69,-20.41,57.7,78.8,13.87
358,sapao,20,PE,1605073408,88,-12.04,-77.03,63.0,6.93
359,nizhneudinsk,100,PH,1605073678,88,12.22,125.48,78.73,15.75
360,laurel,0,IN,1605073678,36,24.72,80.2,79.95,7.23
361,grindavik,40,JP,1605073678,47,33.92,134.65,59.0,13.87
362,kutum,75,RU,1605073678,69,55.75,38.0,35.6,11.18
364,leh,20,ES,1605073679,72,28.12,-16.73,69.01,12.75
365,lensk,75,TR,1605073679,76,40.92,39.83,57.2,8.05
366,saldanha,87,RO,1605073330,89,46.43,26.4,39.99,2.1
367,salmo,90,US,1605073679,87,43.73,-84.02,57.2,10.29
370,cockburn town,98,CD,1605073680,96,-4.45,26.67,70.97,2.35
371,coquimbo,0,RU,1605073680,95,49.76,129.52,27.95,11.56
372,ostrovnoy,16,BR,1605073394,88,-17.71,-39.25,73.0,6.85
373,mendi,0,NO,1605073680,74,71.04,27.85,35.6,10.29
374,saint-denis,99,DK,1605073680,96,56.37,8.43,42.01,6.78
375,svetlyy,100,ID,1605073681,49,-3.45,104.25,91.76,4.16
376,muzhi,83,IR,1605073681,45,30.89,49.41,76.59,6.53
377,longyearbyen,1,US,1605073681,79,46.84,-95.91,24.8,4.7
378,port hedland,2,AM,1605073681,86,40.83,43.78,33.8,1.12
379,margate,67,PG,1605073681,78,-8.75,148.25,83.62,4.07
380,acapulco,2,CN,1605073682,41,34.37,107.36,66.94,5.82
381,san quintin,75,PT,1605073682,64,32.63,-16.85,68.0,8.05
382,kimry,75,GR,1605073333,62,39.39,21.64,59.0,3.56
383,sambava,75,GA,1605073161,94,-0.72,8.78,78.8,4.7
384,padilla,2,ET,1605073682,39,12.6,37.47,66.85,5.99
385,tres picos,0,MW,1605073683,50,-13.97,33.79,77.0,12.75
386,buraydah,100,RU,1605073683,92,58.69,99.18,30.47,16.75
387,trofors,100,RU,1605073372,88,67.8,130.41,-6.3,2.33
389,guayaramerin,100,KZ,1605073431,64,51.67,75.37,43.72,36.19
390,meyungs,14,AR,1605073684,96,-22.52,-63.8,67.21,3.76
391,palabuhanratu,99,CD,1605073684,86,-2.47,28.82,62.58,2.01
392,itarema,100,PF,1605073371,73,-16.7,-151.02,79.12,17.02
393,bafoulabe,90,US,1605073684,75,41.53,-87.42,46.4,19.46
394,kawalu,40,KZ,1605073685,81,42.3,69.6,46.4,5.26
395,tabora,99,BR,1605073685,96,-24.21,-50.95,62.35,1.72
396,tabarqah,90,ES,1605073685,93,41.61,-4.8,42.8,3.36
397,huntingdon,92,MZ,1605073686,85,-25.05,33.64,74.41,10.67
398,kieta,0,IN,1605073686,30,20.51,76.21,76.3,8.41
399,saint-gaudens,1,CA,1605073356,89,51.15,-100.05,8.6,4.7
400,charlestown,7,CL,1605073686,77,-18.48,-70.3,59.0,3.0
401,mys shmidta,1,US,1605073687,74,37.04,-100.92,35.6,13.87
402,sehwan,0,TR,1605073111,87,36.86,34.65,55.4,2.24
403,mandurah,93,US,1605073687,18,43.17,-124.0,48.0,1.99
404,mbacke,0,RU,1605073687,69,46.54,138.33,34.95,5.17
405,hofn,99,RU,1605073281,91,68.75,161.3,-4.59,4.72
406,tazovskiy,16,AR,1605073490,85,-33.89,-60.57,64.0,1.99
407,glendive,100,RU,1605073688,98,63.01,112.47,25.61,4.88
408,marawi,0,IN,1605073688,30,18.98,73.27,86.0,10.29
409,os,93,RU,1605073688,97,54.79,65.99,29.12,12.5
